rank,lead_score,segment,username,platform,followers,brands,source,email,profile,bio
126,77.5,🎯 Competitor Promoter,yennirojas132,X,932,packdraw,x-mention,,https://x.com/yennirojas132,content creator and Pastery 🎂 #Axieinfinity #TMOM #C1NK #TeamStacks #RAW #MoonPay #slotcoffee #BigFortune ID yenniferrs 💖 https://t.co/VGiH4
127,77.5,🎯 Competitor Promoter,Regzor4,X,831,packdraw,x-mention,,https://x.com/Regzor4,Builder💻💻 Reply Guy Degen 🔥🤝. I’m open to deals and collaborations.    https://t.co/LsXEqwsqb7
128,77.5,🎯 Competitor Promoter,Simeonguru2,X,780,packdraw,x-mention,,https://x.com/Simeonguru2,slotcoffee supporter  Manifesting big win   God isn't sleeping   keep grinding   https://t.co/7JToNcoHfv guru  slotcoffee to the moon 🌙🌙🌙🌙💯
129,77.5,🎯 Competitor Promoter,Iremide6499,X,731,packdraw,x-mention,,https://x.com/Iremide6499,"Web3 Community Moderator | Reply Guy Contributor to POPCAT project, NYLAN, Helping crypto communities grow 🚀 Discord + X moderator DM open f"
130,77.5,🎯 Competitor Promoter,Eiraw1n,X,724,packdraw,x-mention,,https://x.com/Eiraw1n,| Exploring Web3 🌐 | Grateful for the journey 💫
131,77.5,🎯 Competitor Promoter,raistarcky,X,723,packdraw,x-mention,,https://x.com/raistarcky,"20. i love cs2 esports & music the devil works hard but the vampires work harder. fantasy sci-fi otaku viewer, am a guy btw cs2,crypto,sport"
132,77.5,🎯 Competitor Promoter,Buena1E,X,709,packdraw,x-mention,,https://x.com/Buena1E,Web3 || Crypto || Abundance🍀 🧲✨️
133,77.5,🎯 Competitor Promoter,clasiffyy,X,663,packdraw,x-mention,,https://x.com/clasiffyy,"katseye, le sserafim, suzy, newjeans, illit, fifty fifty @bray_fps @zafuu_ WANNA BE GAMBLER"
134,77.5,🎯 Competitor Promoter,MogiwaraD,X,662,packdraw,x-mention,,https://x.com/MogiwaraD,Moroccan Web3 Creator  | Building the decentralized future from North Africa   King of Predictions  10$ to 10000000$
135,77.5,🎯 Competitor Promoter,minlorva,X,637,packdraw,x-mention,,https://x.com/minlorva,"internet side quests, love gambling. 𓆸"
136,77.5,🎯 Competitor Promoter,Kingnathansz,X,627,packdraw,x-mention,,https://x.com/Kingnathansz,Web3 Enthusiast | Reply Guy | Degen | Supporting community growth and ecosystem development through collaboration | soldier @soltap_io
137,77.5,🎯 Competitor Promoter,faizmalansori,X,613,packdraw,x-mention,,https://x.com/faizmalansori,Nfts never die | Degen
138,77.5,🎯 Competitor Promoter,XEALUM51,X,606,packdraw,x-mention,,https://x.com/XEALUM51,"“Small entries today can become big wins tomorrow.” | “Degen energy, smart mindset.”  #Godfirst"
139,77.5,🎯 Competitor Promoter,ccecefya,X,605,packdraw,x-mention,,https://x.com/ccecefya,📱| web3 explorer
140,77.5,🎯 Competitor Promoter,IMMDefi,X,567,packdraw,x-mention,,https://x.com/IMMDefi,Muhammad Inuwa 🇳🇬 | Proud Muslim ☪️ | Web3 • DeFi • Content Creator • Community Mod • Crypto Trader
141,77.5,🎯 Competitor Promoter,Leohans25,X,558,packdraw,x-mention,,https://x.com/Leohans25,𝙵𝚘𝚛𝚝𝚒𝚜 𝙵𝚘𝚛𝚝𝚞𝚗𝚊 𝙰𝚍𝚒𝚞𝚟𝚊𝚝 .-  Crypto Enthusiast • Hunter • Reply guys • Support Web3 Projects 🚀
142,77.5,🎯 Competitor Promoter,0xDopdop,X,542,packdraw,x-mention,,https://x.com/0xDopdop,NFT Boy \ Airdrop Hunter \ Crypto enthusiast \ Bagworker🤝
143,77.5,🎯 Competitor Promoter,isthatgato,X,541,packdraw,x-mention,,https://x.com/isthatgato,SMALL TIME STREAMER | FULL TIME BEGGAR | VALKYRIE STUDIO ENJOYER | AVERAGE SCHNECKY FANBOY | https://t.co/qFdfRQOAvI
144,77.5,🎯 Competitor Promoter,Mimina_ETH,X,540,packdraw,x-mention,,https://x.com/Mimina_ETH,🍀“ $VET and web3 fan | Believer in financial freedom | Always with good vibes #Crypto.”🍀
145,77.5,🎯 Competitor Promoter,Cryptspice_,X,538,packdraw,x-mention,,https://x.com/Cryptspice_,SEO Writer ¶ Community Manager ¶ Blogging ¶ Web3 Chatter * Rebuilding (account lost).  ¶CRONOS¶  #BabyCRO #CROBULL #STUPID
146,77.5,🎯 Competitor Promoter,dynamikyoutube,X,528,packdraw,x-mention,,https://x.com/dynamikyoutube,3 Degenerate Gamblers. Live Everyday on @Kick  @Stake + @Raindotgg  Our website: https://t.co/MmmBglLI3a Our discord: https://t.co/iEmqsXT0P
147,77.5,🎯 Competitor Promoter,mr_death_cs,X,524,packdraw,x-mention,,https://x.com/mr_death_cs,- Community manager of goat @fer in twitch - Data scientist and technology enjoyer - laudeDk on kick and steam - PS. My old account was from
148,77.5,🎯 Competitor Promoter,cdentury,X,510,packdraw,x-mention,,https://x.com/cdentury,"🎮 Web3 Gaming Enthusiast | 💎 Airdrop Hunter | Community Supporter 🖤 | ⚡ Playing for fun, staying for the future"
149,77.5,🎯 Competitor Promoter,chabag19,X,505,packdraw,x-mention,,https://x.com/chabag19,kick; chabagkick
150,77.5,🎯 Competitor Promoter,DEGETRADERWEB3,X,463,packdraw,x-mention,,https://x.com/DEGETRADERWEB3,REPLY GUY  fan of #slotcoffee @bitfortune @slotcoffee  https://t.co/e2YKlfbMdL
151,77.5,🎯 Competitor Promoter,ynahinna,X,456,packdraw,x-mention,,https://x.com/ynahinna,web3 girl 💸🩷 | bouncing back stronger 🍃 #PP
152,77.5,🎯 Competitor Promoter,flexi7_,X,442,packdraw,x-mention,,https://x.com/flexi7_,hello my name is flexi and i am a streamer on kick: https://t.co/dUjfoaBRXo join stream to get an amazing experience with me on stream. love
153,77.5,🎯 Competitor Promoter,etherYami,X,427,packdraw,x-mention,,https://x.com/etherYami,@bitfortune : yuutae  @degencity : yuutae @betbolt : yuutae @stake : yuutae @packydotgg : yuutae
154,77.5,🎯 Competitor Promoter,Asilai7,X,425,packdraw,x-mention,,https://x.com/Asilai7,"Crypto, gambling and NBA Youngboy  #ETH #BTC  ""God won't spare my life again if I don't try and do better"""
155,77.5,🎯 Competitor Promoter,Johnny_SOL1,X,420,packdraw,x-mention,,https://x.com/Johnny_SOL1,Web3 degen.🎃 Replyguy🎃. Gambler  Building with @IThinkItsArts
156,77.5,🎯 Competitor Promoter,pchaengy,X,414,packdraw,x-mention,,https://x.com/pchaengy,"exo, rosé, and whoever’s on repeat headphones on, thoughts louder 🆔 Stake & RB: mmaerymc | MW: real_dks"
157,77.5,🎯 Competitor Promoter,richboyzada,X,390,packdraw,x-mention,,https://x.com/richboyzada,"CS skin collector 🎮 Crypto enjoyer ₿ Cat lover 🐈 I love watching streams, gaming, and giving back to the community 💙 Old account was from 20"
158,77.5,🎯 Competitor Promoter,finorakiyang,X,366,packdraw,x-mention,,https://x.com/finorakiyang,a degen and retarded gambler yes just like others my losing streak never stop and ofcourse i listen to lana del rey! kick/twitch : tetsuroya
159,77.5,🎯 Competitor Promoter,blauwbble,X,357,packdraw,x-mention,,https://x.com/blauwbble,"Life feels better in green ✩°⋆🌿. ⋆⸜ 🍵✮˚ — J’ai de la chance ✨ posts about games, movies, food, tv series, & web3. (🖥️/📱)"
160,77.5,🎯 Competitor Promoter,KunmiNft,X,340,packdraw,x-mention,,https://x.com/KunmiNft,Community builder || Moderator || Shiller & Raider || Reply guy ||  Crypto trader || Nft Junkie.
161,77.5,🎯 Competitor Promoter,web3x_soyib,X,337,packdraw,x-mention,,https://x.com/web3x_soyib,Web3 Building |  wish me luck W
162,77.5,🎯 Competitor Promoter,LESANA777,X,310,packdraw,x-mention,,https://x.com/LESANA777,Moderator | Editor | Streamer | Believer| Rish soon ✨✨✨ https://t.co/TekI3gDso6
163,77.5,🎯 Competitor Promoter,_0xminmin1395,X,303,packdraw,x-mention,,https://x.com/_0xminmin1395,myweb3X | Not a bot.
164,77.5,🎯 Competitor Promoter,iiVRTX,X,296,packdraw,x-mention,,https://x.com/iiVRTX,DEGEN
165,77.5,🎯 Competitor Promoter,cryptolies_zx,X,295,packdraw,x-mention,,https://x.com/cryptolies_zx,"Dont hold Crypto, send it to me  @FollowDotFun"
166,77.5,🎯 Competitor Promoter,silva_boar,X,285,packdraw,x-mention,,https://x.com/silva_boar,"Network builder, looking to be part of more community. Web3 explorer |  moderator | graphic designer | web developer | Guide @netizen_fun  @"
167,77.5,🎯 Competitor Promoter,CatsGang_SA,X,275,packdraw,x-mention,,https://x.com/CatsGang_SA,"everyday slot gambler, Moderator and just an inspired guy from South Africa 🎰"
168,77.5,🎯 Competitor Promoter,KittyStrikeUwU,X,273,packdraw,x-mention,,https://x.com/KittyStrikeUwU,🏳️‍🌈 Femboy Furry Gaymer 💜  😈 Fan of @FURIA and @FaZeEsports! Skins enjoyer and Gambling/Slots! 🔥  🐾 Spanish viewer who knows a little Engli
169,77.5,🎯 Competitor Promoter,ItsTheJedi,X,273,packdraw,x-mention,,https://x.com/ItsTheJedi,Creative strategist • visuals & web3 culture Building audience + digital presence
170,77.5,🎯 Competitor Promoter,HaroldAlmen1989,X,266,packdraw,x-mention,,https://x.com/HaroldAlmen1989,"God is always Good 😊  Make things possible🫰and be patient 😜 love to travel,online games,crypto,and love to eat and explore food😁"
171,77.5,🎯 Competitor Promoter,67_LoveSoL,X,252,packdraw,x-mention,,https://x.com/67_LoveSoL,i love $SOL. i love gambling🎰
172,77.5,🎯 Competitor Promoter,Pk96789,X,240,packdraw,x-mention,,https://x.com/Pk96789,"Hearthstone bg ,crypto"
173,77.5,🎯 Competitor Promoter,Niskala80,X,234,packdraw,x-mention,,https://x.com/Niskala80,Lokah Samastah Sukhino Bhavantu | Degen
174,77.5,🎯 Competitor Promoter,BillvBets,X,233,packdraw,x-mention,,https://x.com/BillvBets,gambler♦️♠️
175,77.5,🎯 Competitor Promoter,ashcity0x,X,224,packdraw,x-mention,,https://x.com/ashcity0x,#crypto #gaming #memestrading
176,77.5,🎯 Competitor Promoter,ryusolinc,X,223,packdraw,x-mention,,https://x.com/ryusolinc,Web3 Sucker | Degen | Reply Guy
177,77.5,🎯 Competitor Promoter,AmulbabySettai,X,222,packdraw,x-mention,,https://x.com/AmulbabySettai,life changing on crypto community
178,77.5,🎯 Competitor Promoter,_slide4koba,X,218,packdraw,x-mention,,https://x.com/_slide4koba,crypto enthusiast
179,77.5,🎯 Competitor Promoter,nabi7win,X,217,packdraw,x-mention,,https://x.com/nabi7win,"since 2020 🫧 | here for web3, kdramas & sports ⚽🏐🥎🏀 | forever grateful 🔮 | was @.juicyyyier"
180,77.5,🎯 Competitor Promoter,_Grinderist_,X,206,packdraw,x-mention,,https://x.com/_Grinderist_,Grinding today for a better tomorrow.  Stake: Dandadan01
181,77.5,🎯 Competitor Promoter,lvnabii,X,196,packdraw,x-mention,,https://x.com/lvnabii,"Good things take time, and I’m ready. ~web3 girl| respawned | @bratzieiou sus.|"
182,77.5,🎯 Competitor Promoter,aynrahsy,X,195,packdraw,x-mention,,https://x.com/aynrahsy,"if it's meant to be, it will be ✨ tablet  stake usn: aynrahsy"
183,77.5,🎯 Competitor Promoter,josancene,X,195,packdraw,x-mention,,https://x.com/josancene,"Crypto enthusiast, Skins lover, CS2 enjoyer"
184,77.5,🎯 Competitor Promoter,Alirrezaam,X,184,packdraw,x-mention,,https://x.com/Alirrezaam,CRYPTO | Content Creator🕵️ Football Gambler ⚽️ Backgammon King 🎲 SUI 🩵 SOL 💜 $$$M 🎯 Argentina 🩵 Spain ❤️💛 #Slotcoffee
185,77.5,🎯 Competitor Promoter,Rick_S0012,X,182,packdraw,x-mention,,https://x.com/Rick_S0012,Internet for education and make money 🤑😎  Crypto & NFT hunter 👀  @.MeongGacor 😑
186,77.5,🎯 Competitor Promoter,NelsonJoel7220,X,181,packdraw,x-mention,,https://x.com/NelsonJoel7220,Exploring the system of Web3 | Student @Webbo3 | Learn • Grow • Impact
187,77.5,🎯 Competitor Promoter,Nclove23,X,174,packdraw,x-mention,,https://x.com/Nclove23,#RBHD  SOL: wngnYZwZy7CaPdquJaaNGvcr3rtBujbwbRrpcKvQhZ5  #PPxSTAKE  STAKE ID: Nicnicnicsss  #SLUG
188,77.5,🎯 Competitor Promoter,lorrah2323,X,171,packdraw,x-mention,,https://x.com/lorrah2323,"Mom first. Hustler always. Raising a son while building my way through the crypto space. Soft heart, strong faith, long-term vision. LB"
189,77.5,🎯 Competitor Promoter,Surah_Fatiha,X,167,packdraw,x-mention,,https://x.com/Surah_Fatiha,#Twitter  Crypto invest /Trade 📈📊📈  NFT Collection 📶✳️ #BTC_HOlD #CFX #CHZ #BNB #ETH Twitter event work 💹🧾💷💶
190,77.5,🎯 Competitor Promoter,W_3_DIA,X,161,packdraw,x-mention,,https://x.com/W_3_DIA,Web3 $SOL #DEFI
191,77.5,🎯 Competitor Promoter,DaniloBambaoX,X,158,packdraw,x-mention,,https://x.com/DaniloBambaoX,poor degen
192,77.5,🎯 Competitor Promoter,tuyulsol,X,146,packdraw,x-mention,,https://x.com/tuyulsol,Good Things Come in Good Time • Aquarius • #SOL • #ETH • #BTC • *21  Crypto ✨
193,77.5,🎯 Competitor Promoter,NakanoKisaki,X,113,packdraw,x-mention,,https://x.com/NakanoKisaki,My user on most of the casino sites I play on or have tried before - SapLuna | 23 y/o this year | I gamble on both games and real life (I ke
194,77.5,🎯 Competitor Promoter,Ndoinue,X,102,packdraw,x-mention,,https://x.com/Ndoinue,Crypto Enthusiast
195,77.5,🎯 Competitor Promoter,Pineapplexp35,X,98,packdraw,x-mention,,https://x.com/Pineapplexp35,"“I’m a dedicated language teacher with a passion for culture, travel, and people—and I’ll admit, I’ve got a love for the thrill of gambling "
196,77.5,🎯 Competitor Promoter,visiblekairo,X,98,packdraw,x-mention,,https://x.com/visiblekairo,degen @stake @shufflecom @gamdom @winna | searching for my lost treasure... god knows where
197,77.5,🎯 Competitor Promoter,herdailywins17,X,95,packdraw,x-mention,,https://x.com/herdailywins17,side quest girlie 🫶 stake id herdailywins
198,77.5,🎯 Competitor Promoter,Maal1bu,X,94,packdraw,x-mention,,https://x.com/Maal1bu,✨professional fumbler✨  crypto nerds / nerdy / hotdaddy / bigman / crypto traders / gooners  i need a job
199,77.5,🎯 Competitor Promoter,HayJay_web3,X,93,packdraw,x-mention,,https://x.com/HayJay_web3,"FX📈, Crypto📈📉"
200,77.5,🎯 Competitor Promoter,Ardyjustiin,X,82,packdraw,x-mention,,https://x.com/Ardyjustiin,🌐 Bridging gamers & blockchain 🚀 Airdrop&Crypto Enthusiast🏅
201,77.5,🎯 Competitor Promoter,triggeredSMG69,X,78,packdraw,x-mention,,https://x.com/triggeredSMG69,Degencity - triggeredSMG
202,77.5,🎯 Competitor Promoter,dannmeister10,X,78,packdraw,x-mention,,https://x.com/dannmeister10,"Gamba Degen  new account, first account got compromised"
203,77.5,🎯 Competitor Promoter,PackdrawGifter,X,66,packdraw,x-mention,,https://x.com/PackdrawGifter,Stake Roobet Packdraw
204,77.5,🎯 Competitor Promoter,GloriaIce9,X,63,packdraw,x-mention,,https://x.com/GloriaIce9,"lovers of crypto at large, airdrop hunter🎲📈 love to be with friends who love what I do and those I can learn from,love trustworthy friends ❤"
205,77.5,🎯 Competitor Promoter,FrostB0770,X,62,packdraw,x-mention,,https://x.com/FrostB0770,21 crypto degen | All in $BTC $SOL $BNB | Here to rewrite destiny. LFG! 💥
206,77.5,🎯 Competitor Promoter,ZKSkyB,X,58,packdraw,x-mention,,https://x.com/ZKSkyB,good fortune come hug me pls | Believe in !claim | Stake: ZkaiBull
207,77.5,🎯 Competitor Promoter,Invarchc5,X,56,packdraw,x-mention,,https://x.com/Invarchc5,God is good 🙏 I love and appreciate crypto 🌍
208,77.5,🎯 Competitor Promoter,PRO_Trinity,X,46,packdraw,x-mention,,https://x.com/PRO_Trinity,Stake ID - Lun4rr
209,77.5,🎯 Competitor Promoter,Victor688224234,X,43,packdraw,x-mention,,https://x.com/Victor688224234,"NFTs, suiii... web3, $SOL  moving man go soon meet him luck😔"
210,77.5,🎯 Competitor Promoter,ELtndh01,X,42,packdraw,x-mention,,https://x.com/ELtndh01,• degen by nature •🍀#CryptoDegen #DegenLife #WAGMI #HODL
211,77.5,🎯 Competitor Promoter,Victorsakah001,X,40,packdraw,x-mention,,https://x.com/Victorsakah001,CRYPTO ENTHUSIAST..💵💵 || Mining ⛏️⛏️ || Cryptomainer || Mini games project || Web3 contest ||  Raiding contest
212,77.5,🎯 Competitor Promoter,GoldenOddsDegen,X,39,packdraw,x-mention,,https://x.com/GoldenOddsDegen,Search for Golden Odds Community Packs on @PackDraw ⬇️🔥
213,77.5,🎯 Competitor Promoter,Odo_001,X,36,packdraw,x-mention,,https://x.com/Odo_001,Degenerate| busy gathering magic internet money 💰
214,77.5,🎯 Competitor Promoter,pix_drifter,X,34,packdraw,x-mention,,https://x.com/pix_drifter,NFT/Crypto Analyst WEB3 All-time Degen
215,77.5,🎯 Competitor Promoter,KamilatuCWR,X,32,packdraw,x-mention,,https://x.com/KamilatuCWR,CMON DEGEN!
216,77.5,🎯 Competitor Promoter,JustErickaaaaa,X,32,packdraw,x-mention,,https://x.com/JustErickaaaaa,WEB3. Crypto. Binance.Stake.Metawin
217,77.5,🎯 Competitor Promoter,nhojiar,X,31,packdraw,x-mention,,https://x.com/nhojiar,PUBG Mobile | STAKE: mllande
218,77.5,🎯 Competitor Promoter,BryanoMariano,X,23,packdraw,x-mention,,https://x.com/BryanoMariano,Father | Realist | Alpha Caller | Navigating life and crypto with precision 🐡OPINIONS AND COMMENTS ARE MY OWN 🤑
219,77.5,🎯 Competitor Promoter,546k2fprqc,X,22,packdraw,x-mention,,https://x.com/546k2fprqc,i gamble a shit ton all over the internet
220,77.5,🎯 Competitor Promoter,nullroutew,X,9,packdraw,x-mention,,https://x.com/nullroutew,High IQ. multi talent. and really hot. Crypto enjoyer. Much more ! haha
221,77.5,🎯 Competitor Promoter,kattyonchain,X,6,packdraw,x-mention,,https://x.com/kattyonchain,A crypto Learner
222,76.5,🤝 Competitor Affiliate,csgoroll_code,Instagram,,csgoroll,ig-tagged,,https://www.instagram.com/csgoroll_code/,Csgoroll Code
223,73.5,🎯 Competitor Promoter,daptonkick,Instagram,,packdraw,ig-tagged,,https://www.instagram.com/daptonkick/,Degenerate
224,73.5,🎯 Competitor Promoter,kaveguild,Instagram,,courtyard,ig-promocode,,https://www.instagram.com/kaveguild/,Kave Guild - Your Web3 Ally 🛡️
225,73.5,🎯 Competitor Promoter,_thecryptokrew_,Instagram,,courtyard,ig-promocode,,https://www.instagram.com/_thecryptokrew_/,TheCryptoKrew
226,69.5,🎯 Competitor Promoter,SquirtIes,X,15742,packdraw,x-mention,,https://x.com/SquirtIes,Be ashamed to die until you have won some victory for humanity
227,69.5,🎯 Competitor Promoter,Ramon_Pablo23,X,13102,packdraw,x-mention,,https://x.com/Ramon_Pablo23,Prince of @Boggycoinsol @BoggyAgent https://t.co/CjiDzqS4SZ Apechain NFTs: https://t.co/VpKxL8aAu1
228,69.5,🎯 Competitor Promoter,deadhulk7,X,11252,luxdrop,x-mention,,https://x.com/deadhulk7,
229,69.5,🎯 Competitor Promoter,AngelDelDios,X,8910,packdraw,x-mention,,https://x.com/AngelDelDios,"Disabled. My soul is on a budget. I can’t afford stress, envy, greed, negative vibes, doubt or deceit. ✌️💜🙏🏻 ♿️🫶  #StrokeSurvivor #MSWarrior"
230,69.5,🎯 Competitor Promoter,NingYizhuo_GMIT,X,6784,packdraw,x-mention,,https://x.com/NingYizhuo_GMIT,Intern/Ambassador for hire | Reply Girl | Content Creator | $KAS believer | @TheProjectR3d pfp | $ANSEM
231,69.5,🎯 Competitor Promoter,DjCreeble,X,6770,packdraw,x-mention,,https://x.com/DjCreeble,"8 year Army vet, married for over 20 years with two awesome kiddos and a Professional Glassman for 19 years.  They call me Mr. Glass 🪟"
232,69.5,🎯 Competitor Promoter,Josezanche324,X,6740,packdraw,x-mention,,https://x.com/Josezanche324,olvídate de aquello que no te dejé  avanzar 😵‍💫
233,69.5,🎯 Competitor Promoter,amaloversclub,X,6129,packdraw,x-mention,,https://x.com/amaloversclub,https://t.co/Kzeein3hri
234,69.5,🎯 Competitor Promoter,SodiumsGambles,X,5951,packdraw,x-mention,,https://x.com/SodiumsGambles,"📺 I make videos and give away money... https://t.co/lWs7gMbpdE 👑 $50,000 given away monthly: https://t.co/jy3LwygTJG"
235,69.5,🎯 Competitor Promoter,Ryissly,X,5933,packdraw,x-mention,,https://x.com/Ryissly,yo my previous account got suspended @Pr1deCS / CS enjoyer / rise from trenches #GrindForTheBag
236,69.5,🎯 Competitor Promoter,OgMuta,X,5211,packdraw,x-mention,,https://x.com/OgMuta,"﹝ $𝟮𝟬,𝟬𝟬𝟬 𝗜𝗻 𝗟𝗲𝗮𝗱𝗲𝗿𝗯𝗼𝗮𝗿𝗱𝘀 ﹞ ✧.ೃ࿐ ≽ܫ≼✧ . ೃ ࿐ ୧ ‧₊˚ 🐈‍⬛ ⋅                                                      ↓"
237,69.5,🎯 Competitor Promoter,Womanempowerm10,X,5064,packdraw,x-mention,,https://x.com/Womanempowerm10,"I m artist  I love create Art ,i m graphic designer, photographer, ai artist and many more"
238,69.5,🎯 Competitor Promoter,TheRevMMJ,X,5057,packdraw,x-mention,,https://x.com/TheRevMMJ,@nftbunnyhole & @bunnyholeOS Founder Bunny 1 || #SpacesHost || Veteran
239,69.5,🎯 Competitor Promoter,nicovillalba7,X,5016,packdraw,x-mention,,https://x.com/nicovillalba7,Ex-Owner & Founder @hawkslatam
240,65.5,🎯 Competitor Promoter,INRISOLITE,X,4789,packdraw,x-mention,,https://x.com/INRISOLITE,"𝐁𝐞𝐥𝐢𝐞𝐯𝐞 𝐚𝐬 𝐢𝐟 𝐢𝐭’𝐬 𝐝𝐨𝐧𝐞, 𝐛𝐞𝐜𝐚𝐮𝐬𝐞 𝐢𝐭 𝐚𝐥𝐫𝐞𝐚𝐝𝐲 𝐢𝐬. ✟☽"
241,65.5,🎯 Competitor Promoter,Apsteveweb3,X,4667,packdraw,x-mention,,https://x.com/Apsteveweb3,#stevewin 我相信我會成功的  https://t.co/kKrityssIy
242,65.5,🎯 Competitor Promoter,masbey77,X,4357,packdraw,x-mention,,https://x.com/masbey77,"Don't depend too much on anyone in this world, because even your shadow leaves you when you are in darkness 💯"
243,65.5,🎯 Competitor Promoter,talktomoyo,X,4031,packdraw,x-mention,,https://x.com/talktomoyo,Turning Ideas into legacy.  https://t.co/h7lwkbb9KP
244,65.5,🎯 Competitor Promoter,Elbash_143,X,3934,packdraw,x-mention,,https://x.com/Elbash_143,From the trenches to the timeline. Reply guy turned legend.
245,65.5,🎯 Competitor Promoter,HayZe032,X,3736,packdraw,x-mention,,https://x.com/HayZe032,Soft life manifestation. 🧘🏾‍♂️.. ❤MANUTD ♦️🔥  sigma
246,65.5,🎯 Competitor Promoter,devykurniawan,X,3733,packdraw,x-mention,,https://x.com/devykurniawan,FAT human  Prodigyddk Huge fans
247,65.5,🎯 Competitor Promoter,worldofvina,X,3666,packdraw,x-mention,,https://x.com/worldofvina,Treat others the way you want to be treated. Backup acc: @DianeBEEPER     https://t.co/rIzsj1Q62K
248,65.5,🎯 Competitor Promoter,stringerjoeyy,X,3611,packdraw,x-mention,,https://x.com/stringerjoeyy,
249,65.5,🎯 Competitor Promoter,Cjslatty,X,3603,packdraw,x-mention,,https://x.com/Cjslatty,Nevergoon not even once
250,65.5,🎯 Competitor Promoter,Tobirsama,X,3499,packdraw,x-mention,,https://x.com/Tobirsama,Never Give Up.
251,65.5,🎯 Competitor Promoter,oohanaleen,X,3430,packdraw,x-mention,,https://x.com/oohanaleen,"Great things happen to those who don't stop believing, trying, learning, and being grateful. 🌠🐈‍⬛🌙"
252,65.5,🎯 Competitor Promoter,mrillustriouss,X,3169,packdraw,x-mention,,https://x.com/mrillustriouss,a guy trying to build again
253,65.5,🎯 Competitor Promoter,Wealth_Hokage,X,3103,packdraw,x-mention,,https://x.com/Wealth_Hokage,"God 1st, moving man that will meet he's luck"
254,65.5,🎯 Competitor Promoter,Sannin_013,X,3073,packdraw,x-mention,,https://x.com/Sannin_013,I just be tweeting.
255,65.5,🎯 Competitor Promoter,0xnatsukii,X,3009,packdraw,x-mention,,https://x.com/0xnatsukii,— | https://t.co/VcOqjfXcXN | — #solana  USES REDMI PAD SE | REDMI NOTE 14  For legitimacy — #juriagives
256,65.5,🎯 Competitor Promoter,yomiliveson,X,2939,packdraw,x-mention,,https://x.com/yomiliveson,Content writer||Citezen @Onboard3___
257,65.5,🎯 Competitor Promoter,MSaaransh,X,2887,packdraw,x-mention,,https://x.com/MSaaransh,follow if you're not a cornball | I post every type of content I find interesting/trending
258,65.5,🎯 Competitor Promoter,shredder__0,X,2875,packdraw,x-mention,,https://x.com/shredder__0,Catch me in the threads 👀
259,65.5,🎯 Competitor Promoter,jay_amhere,X,2860,packdraw,x-mention,,https://x.com/jay_amhere,AI enthusiast.  DM me for social media marketing
260,65.5,🎯 Competitor Promoter,xperthino,X,2852,packdraw,x-mention,,https://x.com/xperthino,Ex CSGOEmpire
261,65.5,🎯 Competitor Promoter,Ghion06,X,2847,packdraw,x-mention,,https://x.com/Ghion06,=FEBRUARY 06= ( Philippines 🇵🇭 )
262,65.5,🎯 Competitor Promoter,vesperadawn,X,2717,packdraw,x-mention,,https://x.com/vesperadawn,do it for the plot #joystrulyy #tradeswithjoy
263,65.5,🎯 Competitor Promoter,angeleyess4uin,X,2689,packdraw,x-mention,,https://x.com/angeleyess4uin,"Traveller , Blogger , Influencer , Digital Creator"
264,65.5,🎯 Competitor Promoter,AmmarEv10,X,2632,packdraw,x-mention,,https://x.com/AmmarEv10,I am Adam an Investment Manager
265,65.5,🎯 Competitor Promoter,iKadmoss,X,2565,packdraw,x-mention,,https://x.com/iKadmoss,NFTs ❤️  I Miss you so much!
266,65.5,🎯 Competitor Promoter,Blue_Eye_Mizu,X,2511,packdraw,x-mention,,https://x.com/Blue_Eye_Mizu,"Samurai, Onryō | C̶l̶o̶w̶n̶ ̶A̶r̶c̶ | Katsu Era | I have returned, P&K :("
267,65.5,🎯 Competitor Promoter,Sir_Ahmedo_,X,2461,packdraw,x-mention,,https://x.com/Sir_Ahmedo_,Content creator.. Social media influencer. Bloggers.. 30bg family.. Dmw family..Dax lover..nobody cares work harder..@stevewilldoit family. 
268,65.5,🎯 Competitor Promoter,TheCryptoKing_T,X,2421,packdraw,x-mention,,https://x.com/TheCryptoKing_T,In Blockchain we trust!! ❤️💰  TG : https://t.co/DXyFYdN23H
269,65.5,🎯 Competitor Promoter,CynthiaSkudder,X,2399,packdraw,x-mention,,https://x.com/CynthiaSkudder,no drama🙃 #TeamStacks #LoveWins $CindySkudder
270,65.5,🎯 Competitor Promoter,SolMufasa,X,2398,packdraw,x-mention,,https://x.com/SolMufasa,Phil 4:13  MUFC
271,65.5,🎯 Competitor Promoter,aurtieywin1,X,2361,packdraw,x-mention,,https://x.com/aurtieywin1,"i play mobile legends and genshin impact, a dragon ball fan i hunt gws love pinterest right now into studies 21y bachelor of arts second yea"
272,65.5,🎯 Competitor Promoter,aethernoire,X,2311,packdraw,x-mention,,https://x.com/aethernoire,"Do you know? Overthinking kills happiness | I use 2 devices, 1 android and 1 laptop | KenanganGebetan 🍣"
273,65.5,🎯 Competitor Promoter,grind0l0,X,2278,packdraw,x-mention,,https://x.com/grind0l0,
274,65.5,🎯 Competitor Promoter,YeYintNFTs,X,2229,packdraw,x-mention,,https://x.com/YeYintNFTs,Age - 25 ☸️ | NFTs/ Ordinals OG 🟧 full time | Community Mod at @NodeMonkes
